Date,Close,1MA,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2005-01-03,7.7782,7.7782,1.0,7.85,7.75,1.26584820804402,,,,,,,,,,,,,,,,
2005-01-04,7.7858,7.7858,1.0,7.85,7.75,1.0272222925814316,,,,,,,,,,,,,,,,
2005-01-05,7.7885,7.788500000000001,1.0,7.85,7.75,0.9545119446943496,,,,,,,,,,,,,,,,
2005-01-06,7.7945,7.794500000000002,0.9999999999999998,7.85,7.75,0.8096809968158887,,,,,,,,,,,,,,,,
2005-01-07,7.7909,7.7909000000000015,0.9999999999999998,7.85,7.75,0.8940401229393388,,,,,,,,,,,,,,,,
2005-01-10,7.7958,7.7958000000000025,1.0,7.85,7.75,0.780886094867952,,,,,,,,,,,,,,,,
2005-01-11,7.7959,7.7959,1.0,7.85,7.75,0.778705068921597,,,,,,,,,,,,,,,,
2005-01-12,7.7937,7.793700000000001,1.0,7.85,7.75,0.8278220838865367,,,,,,,,,,,,,,,,
2005-01-13,7.7908,7.790800000000003,0.9999999999999998,7.85,7.75,0.8964881045779731,,,,,,,,,,,,,,,,
2005-01-14,7.7954,7.795400000000002,0.9999999999999998,7.85,7.75,0.7896580809407879,,,,,,,,,,,,,,,,
2005-01-17,7.7973,7.797300000000001,1.0,7.85,7.75,0.7486598904902028,,,,,,,,,,,,,,,,
2005-01-18,7.7989,7.7989,1.0,7.85,7.75,0.7153927895072673,,,,,,,,,,,,,,,,
2005-01-19,7.7988,7.7988,1.0,7.85,7.75,0.7174398731289873,,,,,,,,,,,,,,,,
2005-01-20,7.7987,7.7987,1.0,7.85,7.75,0.7194911558995398,,,,,,,,,,,,,,,,
2005-01-21,7.7983,7.798300000000001,1.0,7.85,7.75,0.7277386253295559,,,,,,,,,,,,,,,,
2005-01-24,7.7987,7.798700000000001,1.0,7.85,7.75,0.7194911558995398,,,,,,,,,,,,,,,,
2005-01-25,7.7994,7.799400000000002,0.9999999999999998,7.85,7.75,0.7052197617942042,,,,,,,,,,,,,,,,
2005-01-26,7.7993,7.7993000000000015,1.0,7.85,7.75,0.7072461049394498,,,,,,,,,,,,,,,,
2005-01-27,7.7988,7.798800000000001,1.0,7.85,7.75,0.7174398731289873,,,,,,,,,,,,,,,,
